ticker,long_name,short_name,unit
DOEPPCP4 Index,DOE Percent Utilization Refinery Operable Capacity Data/PADD4,% Util Refinery Op Cap PADD4,Percent
DOEPPCP5 Index,DOE Percent Utilization Refinery Operable Capacity Data/PADD5,% Util Refinery Op Cap PADD 5,Percent
DOEPPERC Index,DOE Percent Utilization Refinery Operable Capacity Data,% Util Refinery Operable Capac,Percent
DOESDIS1 Index,DOE Distillate Fuel Oil Inventory Data/PADD 1,DOE Fuel Oil Inventory/Dist 1,'000 barrels
DOESDIS2 Index,DOE Distillate Fuel Oil Inventory Data/PADD 2,DOE Fuel Oil Inventory/Dist 2,'000 barrels
DOESDIS3 Index,DOE Distillate Fuel Oil Inventory Data/PADD 3,DOE Fuel Oil Inventory/Dist 3,'000 barrels
DOESDIS4 Index,DOE Distillate Fuel Oil Inventory Data/PADD 4,DOE Fuel Oil Inventory/Dist 4,'000 barrels
DOESDIS5 Index,DOE Distillate Fuel Oil Inventory Data/PADD 5,DOE Fuel Oil Inventory/Dist 5,'000 barrels
DOESDIST Index,DOE Distillate Fuel Oil Total Inventory Data,DOE Dist Fuel Oil Tot Invent,'000 barrels
DOESESPR Index,DOE Product Inventory Total Excluding Strategic Petroleum Reserve (SPR) Data,DOE Tot Prod Inventory Exc SPR,'000 barrels
DOESFETH Index,DOE Total Fuel Ethanol Inventory Data,DOE Total Fuel Ethanol Stocks,'000 barrels
DOESISPR Index,DOE Product Inventory Total Including Strategic Petroleum Reserve(SPR)Data,DOE Tot Prod Inventory Inc SPR,'000 barrels
DOESJET1 Index,DOE Jet Kerosene Inventory Data/PADD 1,DOE Jet Kero Inventory/Dist 1,'000 barrels
DOESJET2 Index,DOE Jet Kerosene Inventory Data/PADD 2,DOE Jet Kero Inventory/Dist 2,'000 barrels
DOESJET3 Index,DOE Jet Kerosene Inventory Data/PADD 3,DOE Jet Kero Inventory/Dist 3,'000 barrels
DOESJET4 Index,DOE Jet Kerosene Inventory Data/PADD 4,DOE Jet Kero Inventory/Dist 4,'000 barrels
DOESJET5 Index,DOE Jet Kerosene Inventory Data/PADD 5,DOE Jet Kero Inventory/Dist 5,'000 barrels
DOESJETK Index,DOE Jet Kerosene Total Inventory Data,DOE Total Jet Kero Inventory,'000 barrels
DOESOTHE Index,DOE Other Oils Total Inventory Data,DOE Total Other Oil Inventory,'000 barrels
DOESPPEX Index,DOE Propane and Propylene Stocks Excluding Propylene at Terminal,Propne Propyl Stocks Ex Term,#N/A Field Not Applicable
DOESRESD Index,US DOE Residual Fuel Oil Total Inventory Data,DOE Totl Residual FO Inventory,'000 barrels
DOESTCRD Index,DOE Crude Oil Total Inventory Data (including Strategic Petroleum Reserve),DOE Crude Oil Stocks Incl. SPR,'000 barrels
DOESTMGS Index,DOE Motor Gasoline Total Inventory Data,DOE Total Motor Gas Inventory,'000 barrels
FCHSM1 Index,Bloomberg Fair Value Price/CARB Diesel - Nymex HO Differential Month 1,CARB Diesel-HO  FV Month 1,USd/gallon
FCHSM2 Index,Bloomberg Fair Value Price/CARB Diesel - Nymex HO Differential Month 2,CARB Diesel-HO  FV Month 2,USd/gallon
FCHSM3 Index,Bloomberg Fair Value Price/CARB Diesel - Nymex HO Differential Month 3,CARB Diesel-HO  FV Month 3,USd/gallon
FCHSM4 Index,Bloomberg Fair Value Price/CARB Diesel - Nymex HO Differential Month 4,CARB Diesel-HO  FV Month 4,USd/gallon
FCHSM5 Index,Bloomberg Fair Value Price/CARB Diesel - Nymex HO Differential Month 5,CARB Diesel-HO  FV Month 5,USd/gallon
FCHSM6 Index,Bloomberg Fair Value Price/CARB Diesel - Nymex HO Differential Month 6,CARB Diesel-HO  FV Month 6,USd/gallon
FDOSM1 Index,Bloomberg Fair Value Price/DOE Diesel-Nymex Heating Oil Diff Month 1,DOE Diesel-Nymex HO Fair Value,USd/gallon
FDOSM2 Index,Bloomberg Fair Value Price/DOE Diesel-Nymex Heating Oil Diff Month 2,DOE Diesel-Nymex HO Fair Value,USd/gallon
FDOSM3 Index,Bloomberg Fair Value Price/DOE Diesel-Nymex Heating Oil Diff Month 3,DOE Diesel-Nymex HO Fair Value,USd/gallon
FDOSM4 Index,Bloomberg Fair Value Price/DOE Diesel-Nymex Heating Oil Diff Month 4,DOE Diesel-Nymex HO Fair Value,USd/gallon
FDOSM5 Index,Bloomberg Fair Value Price/DOE Diesel-Nymex Heating Oil Diff Month 5,DOE Diesel-Nymex HO Fair Value,USd/gallon
FDOSM6 Index,Bloomberg Fair Value Price/DOE Diesel-Nymex Heating Oil Diff Month 6,DOE Diesel-Nymex HO Fair Value,USd/gallon
FEJSM1 Index,Bloomberg Fair Value Price/Med Jet-ICE Gasoil Spread Month 1,Med Jet- ICE Gasoil Fair Value,USD/metric tonne
FEJSM2 Index,Bloomberg Fair Value Price/Med Jet-ICE Gasoil Spread Month 2,Med Jet- ICE Gasoil Fair Value,USD/metric tonne
FEJSM3 Index,Bloomberg Fair Value Price/Med Jet-ICE Gasoil Spread Month 3,Med Jet- ICE Gasoil Fair Value,USD/metric tonne
FEJSM4 Index,Bloomberg Fair Value Price/Med Jet-ICE Gasoil Spread Month 4,Med Jet- ICE Gasoil Fair Value,USD/metric tonne
FEJSM5 Index,Bloomberg Fair Value Price/Med Jet-ICE Gasoil Spread Month 5,Med Jet- ICE Gasoil Fair Value,USD/metric tonne
FEJSM6 Index,Bloomberg Fair Value Price/Med Jet-ICE Gasoil Spread Month 6,Med Jet- ICE Gasoil Fair Value,USD/metric tonne
FGCSM1 Index,Bloomberg Fair Value Price/Distillate Up-Down Diff Month 1,Distillate Up-Down Fair Value,USd/gallon
FGCSM2 Index,Bloomberg Fair Value Price/Distillate Up-Down Diff Month 2,Distillate Up-Down Fair Value,USd/gallon
FGCSM3 Index,Bloomberg Fair Value Price/Distillate Up-Down Diff Month 3,Distillate Up-Down Fair Value,USd/gallon
FGCSM4 Index,Bloomberg Fair Value Price/Distillate Up-Down Diff Month 4,Distillate Up-Down Fair Value,USd/gallon
FGCSM5 Index,Bloomberg Fair Value Price/Distillate Up-Down Diff Month 5,Distillate Up-Down Fair Value,USd/gallon
FGCSM6 Index,Bloomberg Fair Value Price/Distillate Up-Down Diff Month 6,Distillate Up-Down Fair Value,USd/gallon
FGJSM1 Index,Bloomberg Fair Value Price/Gulf Coast Jet Fuel-Nymex Heating Oil Diff Month 1,USGC Jet Fuel-Nymex HO Fair Va,USd/gallon
FGJSM2 Index,Bloomberg Fair Value Price/Gulf Coast Jet Fuel-Nymex Heating Oil Diff Month 2,USGC Jet Fuel-Nymex HO Fair Va,USd/gallon
FGJSM3 Index,Bloomberg Fair Value Price/Gulf Coast Jet Fuel-Nymex Heating Oil Diff Month 3,USGC Jet Fuel-Nymex HO Fair Va,USd/gallon
FGJSM4 Index,Bloomberg Fair Value Price/Gulf Coast Jet Fuel-Nymex Heating Oil Diff Month 4,USGC Jet Fuel-Nymex HO Fair Va,USd/gallon
FGJSM5 Index,Bloomberg Fair Value Price/Gulf Coast Jet Fuel-Nymex Heating Oil Diff Month 5,USGC Jet Fuel-Nymex HO Fair Va,USd/gallon
FGJSM6 Index,Bloomberg Fair Value Price/Gulf Coast Jet Fuel-Nymex Heating Oil Diff Month 6,USGC Jet Fuel-Nymex HO Fair Va,USd/gallon
FJMNM1 Index,Bloomberg Fair Value/European Jet FOB Med Cargo vs Jet CIF NWE Cargo Spread M1,Jet Med FOB vs Jet NWE CIF M1,USD/metric tonne
FJMNM2 Index,Bloomberg Fair Value/European Jet FOB Med Cargo vs Jet CIF NWE Cargo Spread M2,Jet Med FOB vs Jet NWE CIF M2,USD/metric tonne
FJMNM3 Index,Bloomberg Fair Value/European Jet FOB Med Cargo vs Jet CIF NWE Cargo Spread M3,Jet Med FOB vs Jet NWE CIF M3,USD/metric tonne
FJMNM4 Index,Bloomberg Fair Value/European Jet FOB Med Cargo vs Jet CIF NWE Cargo Spread M4,Jet Med FOB vs Jet NWE CIF M4,USD/metric tonne
FJMNM5 Index,Bloomberg Fair Value/European Jet FOB Med Cargo vs Jet CIF NWE Cargo Spread M5,Jet Med FOB vs Jet NWE CIF M5,USD/metric tonne
FJMNM6 Index,Bloomberg Fair Value/European Jet FOB Med Cargo vs Jet CIF NWE Cargo Spread M6,Jet Med FOB vs Jet NWE CIF M6,USD/metric tonne
FJSBM1 Index,Bloomberg Fair Value/Singapore Jet FOB Cargo vs Dated Brent Crack M1,Fair Value Jet Crack  M1,USD/barrel
FJSBM2 Index,Bloomberg Fair Value/Singapore Jet FOB Cargo vs Dated Brent Crack M2,Fair Value Jet Crack  M2,USD/barrel
FJSBM3 Index,Bloomberg Fair Value/Singapore Jet FOB Cargo vs Dated Brent Crack M3,Fair Value Jet Crack  M3,USD/barrel
FJSBM4 Index,Bloomberg Fair Value/Singapore Jet FOB Cargo vs Dated Brent Crack M4,Fair Value Jet Crack  M4,USD/barrel
FJSBM5 Index,Bloomberg Fair Value/Singapore Jet FOB Cargo vs Dated Brent Crack M5,Fair Value Jet Crack  M5,USD/barrel
FJSBM6 Index,Bloomberg Fair Value/Singapore Jet FOB Cargo vs Dated Brent Crack M6,Fair Value Jet Crack  M6,USD/barrel
FLJSM1 Index,Bloomberg Fair Value Price/Los Angeles Jet Fuel-Nymex Heating Oil Diff Month 0,LA Jet Fuel-Nymex HO Fair Valu,USd/gallon
FLJSM2 Index,Bloomberg Fair Value Price/Los Angeles Jet Fuel-Nymex Heating Oil Diff Month 1,LA Jet Fuel-Nymex HO Fair Valu,USd/gallon
FLJSM3 Index,Bloomberg Fair Value Price/Los Angeles Jet Fuel-Nymex Heating Oil Diff Month 2,LA Jet Fuel-Nymex HO Fair Valu,USd/gallon
FLJSM4 Index,Bloomberg Fair Value Price/Los Angeles Jet Fuel-Nymex Heating Oil Diff Month 3,LA Jet Fuel-Nymex HO Fair Valu,USd/gallon
FLJSM5 Index,Bloomberg Fair Value Price/Los Angeles Jet Fuel-Nymex Heating Oil Diff Month 4,LA Jet Fuel-Nymex HO Fair Valu,USd/gallon
FLJSM6 Index,Bloomberg Fair Value Price/Los Angeles Jet Fuel-Nymex Heating Oil Diff Month 5,LA Jet Fuel-Nymex HO Fair Valu,USd/gallon
FNJSM1 Index,Bloomberg Fair Value Price/New York Jet Fuel-Nymex Heating Oil Diff Month 1,NY Jet Fuel-Nymex HO Fair Valu,USd/gallon
FNJSM2 Index,Bloomberg Fair Value Price/New York Jet Fuel-Nymex Heating Oil Diff Month 2,NY Jet Fuel-Nymex HO Fair Valu,USd/gallon
FNJSM3 Index,Bloomberg Fair Value Price/New York Jet Fuel-Nymex Heating Oil Diff Month 3,NY Jet Fuel-Nymex HO Fair Valu,USd/gallon
FNJSM4 Index,Bloomberg Fair Value Price/New York Jet Fuel-Nymex Heating Oil Diff Month 4,NY Jet Fuel-Nymex HO Fair Valu,USd/gallon
FNJSM5 Index,Bloomberg Fair Value Price/New York Jet Fuel-Nymex Heating Oil Diff Month 5,NY Jet Fuel-Nymex HO Fair Valu,USd/gallon
FNJSM6 Index,Bloomberg Fair Value Price/New York Jet Fuel-Nymex Heating Oil Diff Month 6,NY Jet Fuel-Nymex HO Fair Valu,USd/gallon
FSCHM1 Index,Bloomberg Fair Value Price/CARB Diesel Los Angeles Pipeline Month 1,CARB Diesel  FV Month 1,USd/gallon
FSCHM2 Index,Bloomberg Fair Value Price/CARB Diesel Los Angeles Pipeline Month 2,CARB Diesel  FV Month 2,USd/gallon
FSCHM3 Index,Bloomberg Fair Value Price/CARB Diesel Los Angeles Pipeline Month 3,CARB Diesel  FV Month 3,USd/gallon
FSCHM4 Index,Bloomberg Fair Value Price/CARB Diesel Los Angeles Pipeline Month 4,CARB Diesel  FV Month 4,USd/gallon
FSCHM5 Index,Bloomberg Fair Value Price/CARB Diesel Los Angeles Pipeline Month 5,CARB Diesel  FV Month 5,USd/gallon
FSCHM6 Index,Bloomberg Fair Value Price/CARB Diesel Los Angeles Pipeline Month 6,CARB Diesel  FV Month 6,USd/gallon
FSDOM1 Index,Bloomberg Fair Value Price/DOE US On-Highway Diesel Month 1,US On-Highway Diesel FV Month,USd/gallon
FSDOM2 Index,Bloomberg Fair Value Price/DOE US On-Highway Diesel Month 2,US On-Highway Diesel FV Month,USd/gallon
FSDOM3 Index,Bloomberg Fair Value Price/DOE US On-Highway Diesel Month 3,US On-Highway Diesel FV Month,USd/gallon
FSDOM4 Index,Bloomberg Fair Value Price/DOE US On-Highway Diesel Month 4,US On-Highway Diesel FV Month,USd/gallon
FSDOM5 Index,Bloomberg Fair Value Price/DOE US On-Highway Diesel Month 5,US On-Highway Diesel FV Month,USd/gallon
FSDOM6 Index,Bloomberg Fair Value Price/DOE US On-Highway Diesel Month 6,US On-Highway Diesel FV Month,USd/gallon
FSEJM1 Index,Bloomberg Fair Value Price/Mediterranean Jet FOB Cargo  Month 1,Med Jet FOB Cargo FV Month 1,USD/metric tonne
FSEJM2 Index,Bloomberg Fair Value Price/Mediterranean Jet FOB Cargo  Month 2,Med Jet FOB Cargo FV Month 2,USD/metric tonne
FSEJM3 Index,Bloomberg Fair Value Price/Mediterranean Jet FOB Cargo  Month 3,Med Jet FOB Cargo FV Month 3,USD/metric tonne
FSEJM4 Index,Bloomberg Fair Value Price/Mediterranean Jet FOB Cargo  Month 4,Med Jet FOB Cargo FV Month 4,USD/metric tonne
FSEJM5 Index,Bloomberg Fair Value Price/Mediterranean Jet FOB Cargo  Month 5,Med Jet FOB Cargo FV Month 5,USD/metric tonne
FSEJM6 Index,Bloomberg Fair Value Price/Mediterranean Jet FOB Cargo  Month 6,Med Jet FOB Cargo FV Month 6,USD/metric tonne
FSGCM1 Index,Bloomberg Fair Value Price/US Gulf Coast ULSD Month 1,Gulf Coast ULSD FV Month 1,USd/gallon
FSGCM2 Index,Bloomberg Fair Value Price/US Gulf Coast ULSD Month 2,Gulf Coast ULSD FV Month 2,USd/gallon
FSGCM3 Index,Bloomberg Fair Value Price/US Gulf Coast ULSD Month 3,Gulf Coast ULSD FV Month 3,USd/gallon
FSGCM4 Index,Bloomberg Fair Value Price/US Gulf Coast ULSD Month 4,Gulf Coast ULSD FV Month 4,USd/gallon
FSGCM5 Index,Bloomberg Fair Value Price/US Gulf Coast ULSD Month 5,Gulf Coast ULSD FV Month 5,USd/gallon
FSGCM6 Index,Bloomberg Fair Value Price/US Gulf Coast ULSD Month 6,Gulf Coast ULSD FV Month 6,USd/gallon
FSGJM1 Index,Bloomberg Fair Value Price/USGC Jet 54 Fuel Month 1,USGC Jet Fuel FV Month 1,USd/gallon
FSGJM2 Index,Bloomberg Fair Value Price/USGC Jet 54 Fuel Month 2,USGC Jet Fuel FV Month 2,USd/gallon
FSGJM3 Index,Bloomberg Fair Value Price/USGC Jet 54 Fuel Month 3,USGC Jet Fuel FV Month 3,USd/gallon
FSGJM4 Index,Bloomberg Fair Value Price/USGC Jet 54 Fuel Month 4,USGC Jet Fuel FV Month 4,USd/gallon
FSGJM5 Index,Bloomberg Fair Value Price/USGC Jet 54 Fuel Month 5,USGC Jet Fuel FV Month 5,USd/gallon
FSGJM6 Index,Bloomberg Fair Value Price/USGC Jet 54 Fuel Month 6,USGC Jet Fuel FV Month 6,USd/gallon
FSLJM1 Index,Bloomberg Fair Value Price/Los Angeles Jet Fuel Month 1,LA Jet Fuel FV Month 1,USd/gallon
FSLJM2 Index,Bloomberg Fair Value Price/Los Angeles Jet Fuel Month 2,LA Jet Fuel FV Month 2,USd/gallon
FSLJM3 Index,Bloomberg Fair Value Price/Los Angeles Jet Fuel Month 3,LA Jet Fuel FV Month 3,USd/gallon
FSLJM4 Index,Bloomberg Fair Value Price/Los Angeles Jet Fuel Month 4,LA Jet Fuel FV Month 4,USd/gallon
FSLJM5 Index,Bloomberg Fair Value Price/Los Angeles Jet Fuel Month 5,LA Jet Fuel FV Month 5,USd/gallon
FSLJM6 Index,Bloomberg Fair Value Price/Los Angeles Jet Fuel Month 6,LA Jet Fuel FV Month 6,USd/gallon
FSNJM1 Index,Bloomberg Fair Value Price/New York Jet Fuel Month 1,New York Jet Fuel FV Month 1,USd/gallon
FSNJM2 Index,Bloomberg Fair Value Price/New York Jet Fuel Month 2,New York Jet Fuel FV Month 2,USd/gallon
FSNJM3 Index,Bloomberg Fair Value Price/New York Jet Fuel Month 3,New York Jet Fuel FV Month 3,USd/gallon
FSNJM4 Index,Bloomberg Fair Value Price/New York Jet Fuel Month 4,New York Jet Fuel FV Month 4,USd/gallon
FSNJM5 Index,Bloomberg Fair Value Price/New York Jet Fuel Month 5,New York Jet Fuel FV Month 5,USd/gallon
FSNJM6 Index,Bloomberg Fair Value Price/New York Jet Fuel Month 6,New York Jet Fuel FV Month 6,USd/gallon
FSSKM1 Index,Bloomberg Fair Value Price/Singapore Kero FOB Cargo Month 1,Sing Kero FOB  FV Month 1,USD/barrel
FSSKM2 Index,Bloomberg Fair Value Price/Singapore Kero FOB Cargo Month 2,Sing Kero FOB  FV Month 2,USD/barrel
FSSKM3 Index,Bloomberg Fair Value Price/Singapore Kero FOB Cargo Month 3,Sing Kero FOB  FV Month 3,USD/barrel
FSSKM4 Index,Bloomberg Fair Value Price/Singapore Kero FOB Cargo Month 4,Sing Kero FOB  FV Month 4,USD/barrel
FSSKM5 Index,Bloomberg Fair Value Price/Singapore Kero FOB Cargo Month 5,Sing Kero FOB  FV Month 5,USD/barrel
FSSKM6 Index,Bloomberg Fair Value Price/Singapore Kero FOB Cargo Month 6,Sing Kero FOB  FV Month 6,USD/barrel
FSWJM1 Index,Bloomberg Fair Value Price/Northwest Europe Jet CIF Cargo  Month 1,NWE Jet CIF Cargo FV Month 1,USD/metric tonne
FSWJM2 Index,Bloomberg Fair Value Price/Northwest Europe Jet CIF Cargo  Month 2,NWE Jet CIF Cargo FV Month 2,USD/metric tonne
FSWJM3 Index,Bloomberg Fair Value Price/Northwest Europe Jet CIF Cargo  Month 3,NWE Jet CIF Cargo FV Month 3,USD/metric tonne
FSWJM4 Index,Bloomberg Fair Value Price/Northwest Europe Jet CIF Cargo  Month 4,NWE Jet CIF Cargo FV Month 4,USD/metric tonne
FSWJM5 Index,Bloomberg Fair Value Price/Northwest Europe Jet CIF Cargo  Month 5,NWE Jet CIF Cargo FV Month 5,USD/metric tonne
FSWJM6 Index,Bloomberg Fair Value Price/Northwest Europe Jet CIF Cargo  Month 6,NWE Jet CIF Cargo FV Month 6,USD/metric tonne
FUCLM1 Index,Bloomberg Fair Value US Gulf Coast Ultra-Low Sulfur Diesel WTI Crack Month 1,USGC ULSD WTI Month 1,USD/barrel
FUCLM2 Index,Bloomberg Fair Value US Gulf Coast Ultra-Low Sulfur Diesel WTI Crack Month 2,USGC ULSD WTI Month 2,USD/barrel
FUCLM3 Index,Bloomberg Fair Value US Gulf Coast Ultra-Low Sulfur Diesel WTI Crack Month 3,USGC ULSD WTI Month 3,USD/barrel
FUCLM4 Index,Bloomberg Fair Value US Gulf Coast Ultra-Low Sulfur Diesel WTI Crack Month 4,USGC ULSD WTI Month 4,USD/barrel
FUCLM5 Index,Bloomberg Fair Value US Gulf Coast Ultra-Low Sulfur Diesel WTI Crack Month 5,USGC ULSD WTI Month 5,USD/barrel
FUCLM6 Index,Bloomberg Fair Value US Gulf Coast Ultra-Low Sulfur Diesel WTI Crack Month 6,USGC ULSD WTI Month 6,USD/barrel
FUCOM1 Index,Bloomberg Fair Value US Gulf Ultra Low-Sulfur Diesel Brent Crack Month 1,USGC ULSD Brent Month 1,USD/barrel
FUCOM2 Index,Bloomberg Fair Value US Gulf Ultra Low-Sulfur Diesel Brent Crack Month 2,USGC ULSD Brent Month 2,USD/barrel
FUCOM3 Index,Bloomberg Fair Value US Gulf Ultra Low-Sulfur Diesel Brent Crack Month 3,USGC ULSD Brent Month 3,USD/barrel
FUCOM4 Index,Bloomberg Fair Value US Gulf Ultra Low-Sulfur Diesel Brent Crack Month 4,USGC ULSD Brent Month 4,USD/barrel
FUCOM5 Index,Bloomberg Fair Value US Gulf Ultra Low-Sulfur Diesel Brent Crack Month 5,USGC ULSD Brent Month 5,USD/barrel
FUCOM6 Index,Bloomberg Fair Value US Gulf Ultra Low-Sulfur Diesel Brent Crack Month 6,USGC ULSD Brent Month 6,USD/barrel
FVCCM1 Index,Bloomberg Fair Value Price/NYMEX WTI Futures minus ICE Brent Futures Month 1,WTI-Brent  FV Month 1,USD/barrel
FVCCM2 Index,Bloomberg Fair Value Price/NYMEX WTI Futures minus ICE Brent Futures Month 2,WTI-Brent  FV Month 2,USD/barrel
FVCCM3 Index,Bloomberg Fair Value Price/NYMEX WTI Futures minus ICE Brent Futures Month 3,WTI-Brent  FV Month 3,USD/barrel
FVCCM4 Index,Bloomberg Fair Value Price/NYMEX WTI Futures minus ICE Brent Futures Month 4,WTI-Brent  FV Month 4,USD/barrel
FVCCM5 Index,Bloomberg Fair Value Price/NYMEX WTI Futures minus ICE Brent Futures Month 5,WTI-Brent  FV Month 5,USD/barrel
FVCCM6 Index,Bloomberg Fair Value Price/NYMEX WTI Futures minus ICE Brent Futures Month 6,WTI-Brent  FV Month 6,USD/barrel
FVHCM1 Index,NYMEX Heating Oil Futures minus NYMEX WTI Futures Month 1,HO-WTI Month 1,USD/barrel
FVHCM2 Index,NYMEX Heating Oil Futures minus NYMEX WTI Futures Month 2,HO-WTI Month 2,USD/barrel
FVHCM3 Index,NYMEX Heating Oil Futures minus NYMEX WTI Futures Month 3,HO-WTI Month 3,USD/barrel
FVHCM4 Index,NYMEX Heating Oil Futures minus NYMEX WTI Futures Month 4,HO-WTI Month 4,USD/barrel
FVHCM5 Index,NYMEX Heating Oil Futures minus NYMEX WTI Futures Month 5,HO-WTI Month 5,USD/barrel
FVHCM6 Index,NYMEX Heating Oil Futures minus NYMEX WTI Futures Month 6,HO-WTI Month 6,USD/barrel
FVHQM1 Index,Bloomberg  Price/Nymex Heating Oil ICE Gasoil Trade Month Spread Month 1,HO_GO Trd Mnth Spd FV Month 1,USd/gallon
FVHQM2 Index,Bloomberg Price/Nymex Heating Oil ICE Gasoil Trade Month Spread Month 2,HO_GO Trd Mnth Spd FV Month 2,USd/gallon
FVHQM3 Index,Bloomberg Price/Nymex Heating Oil ICE Gasoil Trade Month Spread Month 3,HO_GO Trd Mnth Spd FV Month 3,USd/gallon
FVHQM4 Index,Bloomberg Price/Nymex Heating Oil ICE Gasoil Trade Month Spread Month 4,HO_GO Trd Mnth Spd FV Month 4,USd/gallon
FVHQM5 Index,Bloomberg Price/Nymex Heating Oil ICE Gasoil Trade Month Spread Month 5,HO_GO Trd Mnth Spd FV Month 5,USd/gallon
FVHQM6 Index,Bloomberg Price/Nymex Heating Oil ICE Gasoil Trade Month Spread Month 6,HO_GO Trd Mnth Spd FV Month 6,USd/gallon
FVHRM1 Index,NYMEX Heating Oil Futures minus ICE Brent Futures Month 1,HO-Brent Month 1,USD/barrel
FVHRM2 Index,NYMEX Heating Oil Futures minus ICE Brent Futures Month 2,HO-Brent Month 2,USD/barrel
FVHRM3 Index,NYMEX Heating Oil Futures minus ICE Brent Futures Month 3,HO-Brent Month 3,USD/barrel
FVHRM4 Index,NYMEX Heating Oil Futures minus ICE Brent Futures Month 4,HO-Brent Month 4,USD/barrel
FVHRM5 Index,NYMEX Heating Oil Futures minus ICE Brent Futures Month 5,HO-Brent Month 5,USD/barrel
FVHRM6 Index,NYMEX Heating Oil Futures minus ICE Brent Futures Month 6,HO-Brent Month 6,USD/barrel
FVQCM1 Index,ICE Gasoil Futures minus ICE Brent Futures Month 1,Gasoil-Brent Month 1,USD/barrel
FVQCM2 Index,ICE Gasoil Futures minus ICE Brent Futures Month 2,Gasoil-Brent Month 2,USD/barrel
FVQCM3 Index,ICE Gasoil Futures minus ICE Brent Futures Month 3,Gasoil-Brent Month 3,USD/barrel
FVQCM4 Index,ICE Gasoil Futures minus ICE Brent Futures Month 4,Gasoil-Brent Month 4,USD/barrel
FVQCM5 Index,ICE Gasoil Futures minus ICE Brent Futures Month 5,Gasoil-Brent Month 5,USD/barrel
FVQCM6 Index,ICE Gasoil Futures minus ICE Brent Futures Month 6,Gasoil-Brent Month 6,USD/barrel
FVXCM1 Index,NYMEX RBOB Gasoline Futures minus NYMEX WTI Futures Month 1,RBOB-WTI Month 1,USD/barrel
FVXCM2 Index,NYMEX RBOB Gasoline Futures minus NYMEX WTI Futures Month 2,RBOB-WTI Month 2,USD/barrel
FVXCM3 Index,NYMEX RBOB Gasoline Futures minus NYMEX WTI Futures Month 3,RBOB-WTI Month 3,USD/barrel
FVXCM4 Index,NYMEX RBOB Gasoline Futures minus NYMEX WTI Futures Month 4,RBOB-WTI Month 4,USD/barrel
FVXCM5 Index,NYMEX RBOB Gasoline Futures minus NYMEX WTI Futures Month 5,RBOB-WTI Month 5,USD/barrel
FVXCM6 Index,NYMEX RBOB Gasoline Futures minus NYMEX WTI Futures Month 6,RBOB-WTI Month 6,USD/barrel
FVXHM1 Index,NYMEX RBOB Gasoline Futures minus NYMEX Heating Oil Futures Month 1,RBOB-HO Month 1,USd/gallon
FVXHM2 Index,NYMEX RBOB Gasoline Futures minus NYMEX Heating Oil Futures Month 2,RBOB-HO Month 2,USd/gallon
FVXHM3 Index,NYMEX RBOB Gasoline Futures minus NYMEX Heating Oil Futures Month 3,RBOB-HO Month 3,USd/gallon
FVXHM4 Index,NYMEX RBOB Gasoline Futures minus NYMEX Heating Oil Futures Month 4,RBOB-HO Month 4,USd/gallon
FVXHM5 Index,NYMEX RBOB Gasoline Futures minus NYMEX Heating Oil Futures Month 5,RBOB-HO Month 5,USd/gallon
FVXHM6 Index,NYMEX RBOB Gasoline Futures minus NYMEX Heating Oil Futures Month 6,RBOB-HO Month 6,USd/gallon
FVXRM1 Index,NYMEX RBOB Gasoline Futures minus ICE Brent Futures Month 1,RBOB-Brent Month 1,USD/barrel
FVXRM2 Index,NYMEX RBOB Gasoline Futures minus ICE Brent Futures Month 2,RBOB-Brent Month 2,USD/barrel
FVXRM3 Index,NYMEX RBOB Gasoline Futures minus ICE Brent Futures Month 3,RBOB-Brent Month 3,USD/barrel
FVXRM4 Index,NYMEX RBOB Gasoline Futures minus ICE Brent Futures Month 4,RBOB-Brent Month 4,USD/barrel
FVXRM5 Index,NYMEX RBOB Gasoline Futures minus ICE Brent Futures Month 5,RBOB-Brent Month 5,USD/barrel
FVXRM6 Index,NYMEX RBOB Gasoline Futures minus ICE Brent Futures Month 6,RBOB-Brent Month 6,USD/barrel
FWJSM1 Index,Bloomberg Fair Value Price/NWE Jet-ICE Gasoil Spread Month 1,NWE Jet- ICE Gasoil Fair Value,USD/metric tonne
FWJSM2 Index,Bloomberg Fair Value Price/NWE Jet-ICE Gasoil Spread Month 2,NWE Jet- ICE Gasoil Fair Value,USD/metric tonne
FWJSM3 Index,Bloomberg Fair Value Price/NWE Jet-ICE Gasoil Spread Month 3,NWE Jet- ICE Gasoil Fair Value,USD/metric tonne
FWJSM4 Index,Bloomberg Fair Value Price/NWE Jet-ICE Gasoil Spread Month 4,NWE Jet- ICE Gasoil Fair Value,USD/metric tonne
FWJSM5 Index,Bloomberg Fair Value Price/NWE Jet-ICE Gasoil Spread Month 5,NWE Jet- ICE Gasoil Fair Value,USD/metric tonne
FWJSM6 Index,Bloomberg Fair Value Price/NWE Jet-ICE Gasoil Spread Month 6,NWE Jet- ICE Gasoil Fair Value,USD/metric tonne
HO1 Comdty,#N/A Field Not Applicable,Generic 1st 'HO' Future,USd/gal.
HO2 Comdty,#N/A Field Not Applicable,Generic 2nd 'HO' Future,USd/gal.
HO3 Comdty,#N/A Field Not Applicable,Generic 3rd 'HO' Future,USd/gal.
HO4 Comdty,#N/A Field Not Applicable,Generic 4th 'HO' Future,USd/gal.
