"Code","Name"
"DRAGON FLY","Dragon Fly Srl (Italy)"
"DREAM","Dream Aircraft Inc (Canada)"
"DRIGGS","Driggs Aircraft Corporation (United States)"
"DRUINE","Avions Roger Druine (France)"
"DUBNA","Proizvodstvenno-Tekhnichesky Kompleks Dubnenskogo Mashinostroitelnogo Zavod AO (Russia)"
"DURAND","William H.Durand (United States)"
"DURUBLE","Roland Duruble (France)"
"DYKE","John W.Dyke (United States)"
"DYN'AERO","Société Dyn'Aero (France)"
"DYNALI","Dynali SA Hélicoptères (Belgium)"
"E & K","E & K Sp z oo (Poland)"
"E-7 GROUP","E-7 Group (United States)"
"EAA","Experimental Aircraft Association Inc (United States)"
"EAC","Etudes Aéronautiques & Commerciales SARL (France)"
"EADS","European Aeronautic Defence and Space Company EADS NV (France/Germany/Spain/Poland/Netherlands)"
"EAGLE","Eagle Aircraft Company (United States)"
"EAGLE AIRCRAFT","Eagle Aircraft Australia Ltd (Australia)"
"EAGLE AVIATION","Eagle Aviation LLC (United States)"
"EARLY BIRD","Early Bird Aircraft Company (United States)"
"ECLIPSE","Eclipse Aerospace Inc (United States)"
"ECTOR","Ector Aircraft Company (United States)"
"EDGAR PERCIVAL","Edgar Percival Aircraft Ltd (United Kingdom)"
"EDGLEY","Edgley Aircraft Ltd (United Kingdom)"
"EDRA","EDRA Aeronáutica (Brazil)"
"EGVOYAGER","EGV Costruzioni Aeronautiche (Italy)"
"EHI","EH Industries Ltd (United Kingdom/Italy)"
"EICH","James P.Eich (United States)"
"EIRI","Eiriavion OY (Finland)"
"EIS","EIS Aircraft GmbH (Germany)"
"EKOLOT","PPHU Ekolot Malgorzata Slowik (Poland)"
"EKW","Eidgenössische Konstruktions Werkstätte (Switzerland)"
"ELA AVIACION","ELA Aviación SL (Spain)"
"ELBIT","Elbit Systems Ltd (Israel)"
"ELITAR","Ehlitar OOO (Russia)"
"ELLISON-MAHON","Ellison-Mahon Aircraft Inc (United States)"
"ELMWOOD","Elmwood Aviation (Canada)"
"EMAIR","Emair Inc (United States)"
"EMBRAER","Empresa Brasileira de Aeronáutica SA (Brazil)"
"EMIVEST","Emivest Aerospace Corporation (United States)"
"EMROTH","Emroth Company (United States)"
"ENAER","Empresa Nacional de Aeronáutica (Chile)"
"ENGLISH ELECTRIC","English Electric Aviation Ltd (United Kingdom)"
"ENSTROM","R.J.Enstrom Corporation (United States)"
"EPERVIER (1)","Epervier Aviation SA (Belgium)"
"EPERVIER (2)","Projet Épervier, Université de Sherbrooke (Canada)"
"EPIC AIRCRAFT","Epic Aircraft LLC (United States)"
"ERCO","Engineering and Research Corporation (United States)"
"ERPALS","Erpals Industrie, Etudes et Réalisations de Prototypes pour l'Aviation Légère et Sportive (France)"
"ETA AIRCRAFT","Eta Aircraft (Germany)"
"ETHIOPIAN AIRLINES","Ethiopian Airlines Enterprise (Ethiopia)"
"EURO PINGOUIN","Euro Pingouin Team (France)"
"EUROALA","Euroala Asia Sdn Bhd (Malaysia)"
"EUROCOPTER","Eurocopter Canada Ltd (Canada)"
"EUROCOPTER-HARBIN","see EUROCOPTER and HARBIN"
"EUROCOPTER-KAWASAKI","see EUROCOPTER and KAWASAKI"
"EURODISPLAY","Eurodisplay sro (Czech Republic)"
"EURO-ENAER","Euro-Enaer Holding BV (Netherlands)"
"EUROFIGHTER","Eurofighter Jagdflugzeug GmbH (Germany/UK/Italy/Spain)"
"EURO-FLY","Euro-Fly Srl (Italy)"
"EURONEF","Euronef SA (Belgium)"
"EUROPA","Europa Aircraft (2004) Ltd (United Kingdom)"
"EUROSPACE","Eurospace Costruzioni Srl (Italy)"
"EVANGEL","Evangel Aircraft Corporation (United Sates)"
"EVANS","Evans Aircraft (United States)"
"EVEKTOR","Evektor spol sro (Czech Republic)"
"EVEKTOR-AEROTECHNIK","Evektor-Aerotechnik AS (Czech Republic)"
"EXCALIBUR","Excalibur Aviation Company (United States)"
"EXCEL-JET","Excel-Jet Ltd (United States)"
"EXCLUSIVE","Exclusive Aviation (United States)"
"EXPERIMENTAL AVIATION","Experimental Aviation Inc (United States)"
"EXPLORER (1)","Explorer Aviation (United States)"
"EXPLORER (2)","Explorer Aircraft Inc (United States)"
"EXPRESS","Express Aircraft Company LLC (United States)"
"EXTRA","Extra Aircraft LLC (United States)"
"F+W EMMEN","Eidgenössisches Flugzeugwerk-Fabrique Fédérale d'Avions-Fabbrica Federale d'Aeroplani (Switzerland)"
"FAIRCHILD (1)","Fairchild Aircraft Corporation (United States)"
"FAIRCHILD (2)","Fairchild Aircraft Ltd (Canada)"
"FAIRCHILD DORNIER","Fairchild Aerospace Corporation (United States/Germany)"
"FAIRCHILD HILLER","Fairchild Hiller Corporation (United States)"
"FAIRCHILD SWEARINGEN","Fairchild Swearingen Corporation (United States)"
"FAIREY","Fairey Aviation Company Ltd (United Kingdom)"
"FAIRTRAVEL","Fairtravel Ltd (United Kingdom)"
"FAJR","Fajr Aviation and Composites Industry (Iran)"
"FALCOMPOSITE","Falcomposite Ltd (New Zealand)"
"FALCONAR","Falconar Air Engineering (Canada)"
"FAMA","Fama’ Helicopters srl (Italy)"
"FANTASY AIR","Fantasy Air sro (Czech Republic)"
"FARIGOUX","Georges Farigoux (France)"
"FARNBOROUGH","Farnborough Aircraft Corporation Ltd (United Kingdom)"
"FARRINGTON","Farrington Aircraft Corporation (United States)"
"FD-COMPOSITES","FD-Composites GmbH (Austria)"
"FEUGRAY","G.Feugray (France)"
"FFA","FFA Flugzeugwerke Altenrhein AG (Switzerland)"
"FFT","Gesellschaft für Flugzeug- und Faserverbund Technologie (Germany)"
"FIAT","Fiat SpA (Italy)"
"FIESELER","Fieseler Flugzeugbau (Germany)"
"FIGHTER ESCORT WINGS","Fighter Escort Wings (United States)"
"FIKE","William J.Fike (United States)"
"FINMECCANICA","Finmeccanica SpA (Italy)"
"FISHER","Fisher Flying Products Inc (United States)"
"FISHER AERO","Fisher Aero Corporation (United States)"
"FLAGLOR","K.Flaglor (United States)"
"FLAIR","Flair Aviation Company (United States)"
"FLÄMING AIR","Fläming Air GmbH (Germany)"
"FLEET","Fleet Aircraft Inc (United States)"
"FLETCHER","Fletcher Aviation Company (United States)"
"FLIGHT DESIGN","Flight Design GmbH (Germany)"
"FLIGHT ENGINEERS","Flight Engineers Ltd (New Zealand)"
"FLIGHTWORKS","Flightworks Corporation (United States)"
"FLITZER","Flitzer Aero Publishing Company (United States)"
"FLS","FLS Aerospace (Lovaux) Ltd (United Kingdom)"
"FLSZ","Flight Level Six-Zero Inc (United States)"
"FLUG WERK","Flug Werk GmbH (Germany)"
"FLY SYNTHESIS","Fly Synthesis Srl (Italy)"
"FLYER","Flyer Industria Aeronautica Ltda (Brazil)"
"FLYGFABRIKEN","Svenska Flygfabriken AB (Sweden)"
"FLYING MACHINES","Flying Machines sro (Czech Republic)"
"FLYITALIA","FlyItalia Srl (Italy)"
"FMA","Fábrica Militar de Aviones (Argentina)"
"FMP","FMP sro (Czech Republic)"
"FOCKE-WULF","Focke-Wulf Flugzeugbau AG (Germany)"
"FOKKER","Fokker BV (Netherlands)"
"FOLLAND","Folland Aircraft Ltd (United Kingdom)"
"FORD","Ford Motor Company (United States)"
"FORNAIRE","Fornaire Aircraft Company (United States)"
"FORNEY","Forney Aircraft Manufacturing Company (United States)"
"FOUGA","Etablissements Fouga et Cie (France)"
"FOUND","Found Aircraft Canada Inc (Canada)"
"FOUR WINDS","Four Winds Aircraft LLC (United States)"
"FOURNIER","Avions Fournier SA (France)"
"FOXCON","Foxcon Aviation and Research Pty Ltd (Australia)"
"FRAKES","Frakes Aviation Inc (United States)"
"FREE SPIRIT","Free Spirit Aircraft Company Inc (United States)"
"FREEDOM","Freedom Aviation Holdings Inc (United States)"
"FREEDOM MASTER","Freedom Master Corporation (United States)"
"FREEWING","Freewing Aerial Robotics Corporation (United States)"
"FRONTIER","Frontier Aircraft Inc (United States)"
"FRY","Fry Aircraft Design (Switzerland)"
"FUJI","Fuji Heavy Industries Ltd (Japan)"
"FUNK","Funk Aircraft Company (United States)"
"G1 AVIATION","G1 Aviation SAS (France)"
"GAF","Government Aircraft Factories (Australia)"
"GANNET","Gannet Aircraft (United States)"
"GANZAVIA","Ganzavia Kft (Hungary)"
"GARDAN","Avions Yves Gardan (France)"
"GARLAND","The Garland Aircraft Company (United Kingdom)"
"GARRISON","Peter Garrison (United States)"
"GATARD","Avions A.Gatard (France)"
"GATES LEARJET","Gates Learjet Corporation (United States)"
"GAVILAN","El Gavilán SA (Colombia)"
"GENERAL AIRCRAFT","General Aircraft Corporation (United States)"
"GENERAL ATOMICS","General Atomics Aeronautical Systems Inc (United States)"
"GENERAL AVIA","General Avia Costruzioni Aeronautiche SRL (Italy)"
"GENERAL DYNAMICS","General Dynamics Corporation (United States)"
"GENERAL MOTORS","Eastern Aircraft Division of General Motors Corporation (United States)"
"GERMAN BIANCO","German Bianco SA, Fabrica Argentina de Aerodinos (Argentina)"
"GILES","Richard Giles (United States)"
"GIPPSAERO","GippsAero Pty Ltd (Australia)"
"GIPPSLAND","Gippsland Aeronautics Pty Ltd (Australia)"
"GLASAIR","Glasair Aviation LLC (United States) "
"GLASER-DIRKS","Glaser-Dirks Flugzeugbau GmbH (Germany)"
"GLASS","Glass Aircraft de Colombia (Colombia)"
"GLASSIC","Glassic Composites LLC (United States)"
"GLOBAL","Global Helicopter Technology Inc (United States)"
"GLOBE","Globe Aircraft Corporation (United States)"
"GLOSTER","Gloster Aircraft Company Ltd (United Kingdom)"
"GM&T","GM&T International 2000 SA (Romania)"
"GOAIR","Goair Products (Australia)"
"GOBOSH","Gobosh Aviation (United States)"
"GOLDEN CAR","Golden Car SpA (Italy) "
"GOLDEN CIRCLE","Golden Circle Air Inc (United States)"
"GOMOLZIG","Herbert Gomolzig Ingenieurbüro (Germany)"
"GOODYEAR","Goodyear Aircraft Corporation (United States)"
"GÖTAVERKEN","AB Götaverken (Sweden)"
"GREAT LAKES","Great Lakes Aircraft Company Inc (United States)"
"GREAT PLAINS","Great Plains Aircraft Supply Company Inc (United States)"
"GREGA","John W.Grega (United States)"
"GRIFFON","Griffon Aerospace Inc (United States)"
"GRIFFON AERO","Griffon Aero (Russia)"
"GRINVALDS","Jean Grinvalds (France)"
"GROB","Burkhart Grob Flugzeugbau GmbH & Co KG (Germany)"
"GROEN","Groen Brothers Aviation Inc (United States)"
"GROPPO","Ing. Nando Groppo srl (Italy) "
"GROSSO","Grosso Aircraft Inc (United States)"
"GROVE","Grove Aircraft Company (United States)"
"GROVER","Grover Aircraft Corporation (United States)"
"GRUMMAN","Grumman Aircraft Engineering Corporation (United States)"
"GRUMMAN AMERICAN","Grumman American Aviation Corporation (United States)"
"GRYF"," Gryf Aircraft spol sro (Czech Republic)"
"GUERIN","Charles Guérin (France)"
"GUIMBAL","Helicoptères Guimbal SA (France)"
"GUIZHOU","Guizhou Aviation Industrial Corporation (China)"
"GULFSTREAM AEROSPACE","Gulfstream Aerospace Corporation (United States)"
"GULFSTREAM AMERICAN","Gulfstream American Corporation (United States)"
"GYROFLUG","Gyroflug Ingenieursgesellschaft mbH (Germany)"
"HAGGLUND","Hägglund & Söner (Sweden)"
"HAINZ","Franz Hainz (Germany)"
"HALBERSTADT","Halberstädter Flugzeug-Werke GmbH (Germany)"
"HALLEY","Halley Kft (Hungary)"
"HALSTED","Barry Halsted (United States)"
"HAMILTON","Hamilton Aircraft Company Inc (United States)"
"HANDLEY PAGE","Handley Page (Reading) Ltd (United Kingdom)"
"HAPI","HAPI Engines Inc (United States)"
"HARBIN","Hafei Aviation Industry Company (China)"
"HARMON (1)","James B.Harmon (United States)"
"HARMON (2)","D & J Harmon Co Inc (United States)"
"HAT","Hellenic Aeronautical Technologies (Greece)"
"HATZ","John D.Hatz (United States)"
"HAWKER","Hawker Aircraft Ltd (United Kingdom)"
"HAWKER BEECHCRAFT","Hawker Beechcraft Corporation (United States) "
"HAWKER DE HAVILLAND","Hawker De Havilland Australia Pty Ltd (Australia)"
"HAWKER SIDDELEY","Hawker Siddeley Aviation Ltd (United Kingdom)"
"HB-AIRCRAFT","HB-Aircraft Industries Luftfahrzeug AG (Austria)"
"HB-FLUGTECHNIK","HB-Flugtechnik GmbH (Austria)"
"HEINKEL","Ernst Heinkel AG (Germany)"
"HEINTZ","Christophe Heintz (France)"
"HELIBRAS","Helicópteros do Brasil SA (Brazil)"
"HELICOM","Helicom Inc (United States)"
"HELIO","Helio Aircraft Company (United States)"
"HELIOPOLIS","Heliopolis Air Works (Egypt)"
"HELIPRO","Helipro Corporation International (United States)"
"HELI-SPORT","CH-7 Heli-Sport Srl. (Italy)"
"HELIVERT","HeliVert JSC (Russia)"
"HELOWERKS","HeloWerks (United States)"
"HELWAN","Helwan Air Works (Egypt)"
"HENDERSON","Henderson Aero Specialties Inc (United States)"
"HESA","HESA (Iran Aircraft Manufacturing Industries Company) (Iran)"
"HFB","Hamburger Flugzeugbau GmbH (Germany)"
"HIGHER CLASS","Higher Class Aviation (United States)"
"HIGHLANDER","Highlander Aircraft Corporation (United States)"
"HILLBERG","Hillberg Helicopters (United States)"
"HILLER","Hiller Aircraft Company Inc (United States)"
"HINDUSTAN","Hindustan Aeronautics Ltd (India)"
"HIRTH","Wolf Hirth GmbH (Germany)"
"HISPANO","La Hispano Aviacion SA (Spain)"
"HISTORICAL AIRCRAFT","Historical Aircraft Corporation (United States)"
"HK","HK Aircraft Technology AG (Germany)"
"HOAC","HOAC Austria Flugzeugwerk Wiener Neustadt GmbH (Austria)"
"HOFFMANN","Hoffmann Aircraft Flugzeugproduktion und Entwicklung GmbH (Austria)"
"HOLCOMB","Jerry Holcomb (United States)"
"HOLLMANN","Martin Hollmann (United States)"
"HONDA","Honda Motor Company Ltd (Japan)"
"HONDA-MISSISSIPPI","see HONDA and MISSISSIPPI"
"HONGDU","Hongdu Aviation Industry Group (China)"
"HONGDU MD HELICOPTERS","Hongdu MD Helicopters (China)"
"HOVEY","Robert W.Hovey (United States)"
"HOWARD (1)","Howard Aircraft Corporation (United States)"
"HOWARD (2)","Howard Aero Inc (United States)"
"HOWARD HUGHES","Howard Hughes Engineering Pty Ltd (Australia)"
"HPA (1)","High Performance Aircraft GmbH & Co KG (Germany)"
"HPA (2)","International High Performance Aircraft Inc (United States)"
"HUGHES","Hughes Helicopters Division of Summa Corporation (United States)"
"HUMBERT","Humbert Aviation (France)"
"HUMMEL","J.Morry Hummel (United States)"
"HUNTING","Hunting Aircraft Ltd (United Kingdom)"
"HUNTING PERCIVAL","Hunting Percival Aircraft Ltd (United Kingdom)"
"HUREL-DUBOIS","Société de Construction des Avions Hurel-Dubois (France)"
"HUZHOU TAIXIANG","Huzhou Taixiang Aviation Technology Company (China)"
"HYDROPLANE","Gidroplan ooo (Russia)"
"HYNES","Hynes Helicopter Inc (United States)"
"HYUNDAI","Hyundai Precision Industry (South Korea)"
"IAI","Israel Aerospace Industries Ltd (Israel)"
"IANNOTTA","Dott.Ing.Orlando Iannotta (Italy)"
"IAR","SC IAR SA (Romania)"
"IBIS (1)","Ibis Aerospace Ltd (Czech Republic/China-Taiwan)"
"IBIS (2)","Ibis Aircraft SA (Colombia)"
"ICA","Intreprinderea de Constructii Aeronautice (Romania)"
"ICON","Icon Aircraft (United States)"
"ICP","ICP Srl (Italy)"
"IDEA","Idea Aircraft Company (Hungary)"
"IFB","Institut für Flugzeugbau (Germany)"
"III","Iniziative Industriali Italiane SpA (Italy)"
"IKAR","OOO Aviaklub Ikar (Ukraine)"
"IKARUS","Comco Ikarus GmbH (Germany)"
"ILYUSHIN","Aviatsionnyi Kompleks Imeni S.V.Ilyushina OAO (Russia)"
"IMCO","Intermountain Manufacturing Company (United States)"
"IMP","IMP Group Ltd (Canada)"
"IMPULSE","Impulse Aircraft GmbH (Germany)"
"INDAER CHILE","Industria Aeronáutica de Chile (Chile)"
"INDAER PERU","Industria Aeronautica del Peru SA (Peru)"
"INDEPENDENT","Independent Aircraft (United States)"
"INDUS","IndUS Aviation Inc (United States)"
"INNOVATION","Innovation Engineering Inc (United States)"
"INPAER","Indústria Paulista de Aeronáutica Ltda (Brazil)"
"INSTYTUT LOTNICTWA","Instytut Lotnictwa (Poland)"
"INTER-AIR","International Aircraft Manufacturing Inc (United States)"
"INTERAVIA","Interavia Konstruktorskoye Buro AO (Russia)"
"INTERNATIONAL HELICOPTERS","International Helicopters Inc (United States)"
"INTERPLANE","Interplane spol sro (Czech Republic)"
"INTERSTATE"," Interstate Aircraft Company Inc (United States)"
"INTRACOM","Intracom General Machinery SA (Switzerland)"
"ION","Ion Aircraft (United States)"
"IPAI","IPAI, Escola de Engenharia de Sâo Carlos (Brazil)"
"IPE","Industria Paranaense de Estruturas Ltda (Brazil)"
"IPT","Instituto de Pesquisas Tecnologicas (Brazil)"
"IRGC","Institute of Industrial Research and Development of the Iran Revolutionary Guard Corps (Iran)"
"IRIAF","Islamic Republic of Iran Air Force (Iran)"
"IRKUT","Nauchno-Proizvodstvennaya Korporatsiya Irkut PAO (Russia)"
"IRMA","Intreprinderea de Reparat Material Aeronautic (Romania)"
"ISAACS","John O.Isaacs (United Kingdom)"
"ISAE","Integrated Systems Aero Engineering Inc (United States)"
"ISLAND AIRCRAFT","Island Aircraft Ltd (United Kingdom)"
"ISRAVIATION","Israviation Ltd (Israel)"
"ISSOIRE","Issoire Aviation SA (France)"
"ISTRA","Istrinskiy Eksperimentalnyi Mekhanicheskiy Zavod (Russia)"
"J & AS","J & AS Aero Design Sp z oo (Poland)"
"JABIRU","Jabiru Aircraft Pty Ltd (Australia)"
"JACKAROO","Jackaroo Aircraft Ltd (United Kingdom)"
"JAG HELICOPTER","JAG Helicopter Group LLC (United States)"
"JAMES","James Aviation (New Zealand)"
"JANOWSKI","Jaroslaw Janowski (Poland)"
"JAVELIN","Javelin Aircraft Company Inc (United States)"
"JEFFAIR","Jeffair Corporation (United States)"
"JETCRAFTERS","Jetcrafters Inc (United States)"
"JETPROP","Jetprop LLC (United States)"
"JETSTREAM","Jetstream Aircraft Ltd (United Kingdom)"
"JIANGXI CHANGHE-AGUSTA","Jiangxi Changhe-Agusta Helicopter Company Ltd (China)"
"JIHLAVAN","Jihlavan Airplanes sro (Czech Republic)"
"JODEL","Avions Jodel SA (France)"
"JOHNSON","Johnson Aircraft Inc (United States)"
"JOHNSTON","Johnston Aircraft Service (United States)"
"JONKER","Jonker Sailplanes CC (South Africa)"
"JORDAN AEROSPACE","Jordan Aerospace Industries (Jordan)"
"JUNKERS","Junkers Flugzeug- und Motorenwerke AG (Germany)"
"JUNKERS PROFLY","Junkers Profly France (France)"
"JUNQUA","Roger Junqua (France)"
"JURCA","Marcel Jurca (France)"
"JUST","Just AirCraft LLC (United States)"
"K & S","K & S Aircraft (Canada)"
"KADER","Kader Aircraft Factory (Egypt)"
"KAISER","Kaiser Flugzeugbau GmbH (Germany)"
"KALINAUSKAS","Rolandas Kalinauskas (Lithuania)"
"KAMAN","Kaman Aerospace Corporation (United States)"
"KAMINSKAS","Rim Kaminskas (United States)"
"KAMOV","Kamov OAO (Russia)"
"KANPUR","Indian Air Force, Aircraft Manufacturing Depot (India)"
"KAPPA","Kappa 77 AS (Czech Republic) "
"KARI","Korea Aerospace Research Institute (South Korea)"
"KARI-KEEN","Kari-Keen Aircraft Inc (United States)"
"KAWASAKI","Kawasaki Heavy Industries Ltd (Japan)"
"KAZAN","Kazansky Vertoletnyi Zavod AO (Russia)"
"KELEHER","James J.Keleher (United States)"
"KELLY","Dudley R.Kelly (United States)"
"KELOWNA","Kelowna Flightcraft Group (Canada)"
"KESTREL (1)","Kestrel Aircraft Company (United States)"
"KESTREL (2)","Kestrel Sport Aviation (Canada)"
"KEUTHAN","Keuthan Aircraft (United States)"
"KEYSTONE","Keystone Helicopter Corporation (United States)"
"KHRUNICHEV","Gosudarstvennyi Kosmicheskii Nauchno-Proizvodstvennyi Tsentr Imeni M V Khrunicheva (Russia)"
"KIEGER","André Kieger (France)"
"KILLINGSWORTH","Richard Killingsworth (United States)"
"KIMBALL","Jim Kimball Enterprises Inc (United States)"
"KIMBREL","Michael G.Kimbrel (United States)"
"KINETIC","Kinetic Aviation Inc (United States)"
"KING'S","The King's Engineering Fellowship (United States)"
"KITFOX","Kitfox Aircraft LLC (United States)"
"KITPLANES FOR AFRICA","Kitplanes for Africa (Pty) Ltd (South Africa)"
"KLEMM","Hans Klemm Flugzeugbau (Germany)"
"KLN","KLN - Karel Klenor (Czech Republic)"
"KLS COMPOSITES","KLS Composites (United States)"
"KOLB","Kolb Aircraft Company LLC (United States)"
"KOREA AEROSPACE","Korea Aerospace Industries Ltd (South Korea)"
"KOREAN AIR","Korean Air Lines Company Ltd (South Korea)"
"KOVACH-ELMENDORF","Alexander Kovach and Leonard Elmendorf (United States)"
"KOVACS","Joseph Kovács (Brazil)"
"KREIDER-REISNER","Kreider-Reisner Aircraft Company Inc (United States)"
"KUBICEK","Kubíček Aircraft sro (Czech Republic)"
"LA FRANCE","Neil La France (United States)"
"LAIRD","E.M.Laird Airplane Company (United States)"
"LAK","Lietuviska Aviacine Konstrukcija (Lithuania)"
"LAKE","Lake Aircraft Corporation (United States)"
"LAMBACH","Hugo Lambach (Netherlands)"
"LAMBERT","Lambert Aircraft Engineering bvba (Belgium)"
"LAMMER GEYER","Lammer Geyer Aviation (South Africa)"
"LANCAIR","Lancair Group Inc (United States)"
"LANCASHIRE","Lancashire Aircraft Company Ltd (United Kingdom)"
"LANGE","Lange Flugzeugbau GmbH (Germany)"
"LANSHE"," LanShe Aerospace LLC (United States)"
"LASER","Laser Aerobatics (Australia)"
"LAVEN","Joe Laven (United States)"
"LAVERDA","Laverda SpA (Italy)"
"LAVIASA","Latinoamericana de Aviación SA (Argentina)"
"LEAR","Lear Inc (United States)"
"LEAR JET","Lear Jet Corporation (United States)"
"LEARJET","Bombardier Aerospace Learjet (United States)"
"LEAVENS","Leavens Brothers Ltd (Canada)"
"LEDERLIN","François Lederlin (France)"
"LEGEND","Legend Aircraft Inc (United States)"
"LEGEND FLYERS","Legend Flyers (United States)"
"LEGER","Gilles Leger (Canada)"
"LEONARDO","Leonardo SpA (Italy)"
"LET","Let AS (Czech Republic)"
"LEZA","Leza AirCam Corporation (United States)"
"LEZA-LOCKWOOD","Leza-Lockwood Company (United States)"
"LH AVIATION","LH Aviation SARL (France)"
"LIBERTY (1)","Liberty Aeronautical (United States)"
"LIBERTY (2)","Liberty Aerospace Inc (United States)"
"LICHTWERK","NV Lichtwerk (Netherlands)"
"LIGHT AERO","Light Aero Inc (United States)"
"LIGHT MINIATURE","Light Miniature Aircraft Inc (United States)"
"LIGHT WING","Light Wing AG (Switzerland)"
"LIGHTNING BUG","Lightning Bug Aircraft Corporation (United States)"
"LILIENTHAL","ZAO Aviatsionny Firma Lilienthal (Ukraine)"
"LIPNUR","Lembaga Industri Penerbangan Nurtanio (Indonesia)"
"LISA","Lisa Airplanes SA (France)"
"LISUNOV","Lisunov OKB (Russia)"
"LITTLE WING","Little Wing Autogyros Inc (United States)"
"LMAASA","Lockheed Martin Aircraft Argentina SA (Argentina)"
"LOAD RANGER","Load Ranger Inc (United States)"
"LOCKHEED","Lockheed Aircraft Corporation (United States)"
"LOCKHEED MARTIN","Lockheed Martin Corporation (United States)"
"LOCKHEED-AZCARATE","Lockheed-Azcarate SA (Mexico)"
"LOCKWOOD","Lockwood Aviation Inc (United States)"
"LOEHLE","Loehle Aircraft Corporation (United States)"
"LOMBARDI","Aeronautica Lombardi (Italy)"
"LONG","David Long (United States)"
"LONGREN","Longren Aircraft Company Inc (United States)"
"LOPRESTI","LoPresti Inc (United States)"
"LORAVIA","Lorraine Aviation (France)"
"LOT","Letecké Opravovne Trencin SP (Slovakia)"
"LOVING-WAYNE","Neal V.Loving, Wayne Aircraft Company (United States)"
"LTV","Ling-Temco-Vought Inc (United States)"
"LUCAS","Emile Lucas (France)"
"LUNDS TEKNISKE","Lunds Tekniske (Norway)"
"LUNDY","Brian Lundy (United States)"
"LUSCOMBE","Luscombe Aircraft Corporation (United States)"
"LUSCOMBE-SILVAIRE","Luscombe-Silvaire Aircraft Company Inc (United States)"
"LUTON","Luton Aircraft Ltd (United Kingdom)"
"LYAVIN","Peter Lyavin (Russia)"
"M & D FLUGZEUGBAU","M & D Flugzeugbau GmbH & Co KG (Germany)"
"MACAIR","Macair Industries Inc (Canada)"
"MACCHI","Aeronautica Macchi SpA (Italy)"
"MACDONALD","MacDonald Aircraft Company (United States)"
"MACHEN","Machen Inc (United States)"
"MACKEY","Wayne Mackey (United States)"
"MAD MAX AERO","Mad Max Aero (United States)"
"MAGNI","Magni Gyro di Vittorio Magni (Italy)"
"MAKELAN","Makelan Corporation (United States)"
"MALMO","AB Malmö Flygindustri (Sweden)"
"MAPO","Federalnoye Gosudarstvennoye Unitarnoye Predpriyatie, Voyenno-Promyshlennyi Kompleks MAPO (Russia)"
"MARA WING","Mara Wing (Czech Republic)"
"MARANDA","Maranda Aircraft Company Ltd (Canada)"
"MARCO","Marco-Elektronik Company (Poland)"
"MARGANSKI","Edward Marganski-Zaklad Remontów i Produkcji Sprzetu Lotniczego (Poland)"
"MARIE","Jean-Pierre Marie (France)"
"MARMANDE","Marmande Aéronautique (France)"
"MARQUART","Ed Marquart (United States)"
"MARSDEN","David Marsden (Canada)"
"MARSH","Marsh Aviation Company (United States)"
"MARTIN","Glenn L.Martin Company (United States)"
"MAULE","Maule Air Inc (United States)"
"MAUPIN","Jim Maupin (United States)"
"MAVERICK","Maverick Air Inc (United States)"
"MAX HOLSTE","Société des Avions Max Holste (France)"
"MBB","MBB Helicopter Canada Ltd (Canada)"
"MBB-KAWASAKI","see MBB and KAWASAKI"
"MCCARLEY","Charles E.McCarley (United States)"
"MCDONNELL","McDonnell Aircraft Corporation (United States)"
"MCDONNELL DOUGLAS","McDonnell Douglas Corporation (United States)"
"MCKINNON","McKinnon Enterprises Inc (United States)"
"MD HELICOPTERS","MD Helicopters Inc (United States)"
"MDB","MDB Flugtechnik AG (Switzerland)"
"MEAD","George Mead (United States)"
"MELBOURNE","Melbourne Aircraft Corporation Pty Ltd (Australia)"
"MELEX","Melex USA Inc (United States)"
"MENAVIA","Menavia (France)"
"MERCURY","Mercury Air Group (United States)"
"MERIDIONALI","Elicotteri Meridionali SpA (Italy)"
"MERLIN","Merlin Aircraft Inc (United States)"
"MESSERSCHMITT","Messerschmitt AG (Germany)"
"MESSERSCHMITT-BOLKOW","Messerschmitt-Bölkow GmbH (Germany)"
"METEOR","Meteor SpA, Costruzione Aeronautiche (Italy)"
"MEYER","George W.Meyer (United States)"
"MEYERS","Meyers Aircraft Company (United States)"
"MICCO","Micco Aircraft Company (United States)"
"MICROJET","Microjet SA (France)"
"MICROLEVE","Microleve (Brazil)"
"MICROTURBO","Microturbo SA (France)"
"MID-CONTINENT","Mid-Continent Aircraft Corporation (United States)"
"MIDWEST AEROSPORT","Midwest Aerosport Inc (United States)"
"MIGNET","Henri Mignet (France)"
"MIKOYAN","Aviatsionnyi Nauchno-Promyshlennyi Kompleks MiG (Russia)"
"MIL","Mil OKB (Russia)"
"MILES","F.G.and G.H.Miles (United Kingdom)"
"MILLER (1)","Miller (United States)"
"MILLER (2)","William Y.Miller (United States)"
"MILLICER","Millicer Aircraft Industries Pty Ltd (Australia)"
"MINI-IMP","Mini-IMP Aircraft Company (United States)"
"MIRAGE","Mirage Aircraft Inc (United States)"
"MITCHELL-PROCTER","Mitchell-Procter Aircraft Ltd (United Kingdom)"
"MITSUBISHI","Mitsubishi Aircraft Corporation (Japan)"
"MOLNIYA","Nauchno-Proizvodstvennoye Obedinenie Molniya OAO (Russia)"
"MONG","Ralph Mong (United States)"
"MONIOT","Avions Philippe Moniot (France)"
